"",f.value,p.value,-log10(p),FDR,Fisher's LSD
N-carbamoyl-L-aspartate,280.53,1.9273e-08,7.715,1.3684e-06,DMSO - ML162; DMSO - ML210; DMSO - RSL3; ML210 - ML162; RSL3 - ML162; ML210 - RSL3
N-carbamoyl-L-aspartate.1,280.53,1.9273e-08,7.715,1.3684e-06,DMSO - ML162; DMSO - ML210; DMSO - RSL3; ML210 - ML162; RSL3 - ML162; ML210 - RSL3
inosine,130.84,3.8857e-07,6.4105,1.3794e-05,ML162 - DMSO; ML210 - DMSO; RSL3 - DMSO; ML162 - ML210; ML162 - RSL3; RSL3 - ML210
inosine.1,130.84,3.8857e-07,6.4105,1.3794e-05,ML162 - DMSO; ML210 - DMSO; RSL3 - DMSO; ML162 - ML210; ML162 - RSL3; RSL3 - ML210
FGAR,97.037,1.2458e-06,5.9046,2.9483e-05,DMSO - ML162; DMSO - ML210; DMSO - RSL3; ML210 - ML162; RSL3 - ML162; ML210 - RSL3
FGAR.1,97.037,1.2458e-06,5.9046,2.9483e-05,DMSO - ML162; DMSO - ML210; DMSO - RSL3; ML210 - ML162; RSL3 - ML162; ML210 - RSL3
glycerol-3-phosphate,64.891,5.879e-06,5.2307,9.1169e-05,DMSO - ML162; DMSO - ML210; DMSO - RSL3; ML210 - ML162; RSL3 - ML162
glycerol-3-phosphate.1,64.891,5.879e-06,5.2307,9.1169e-05,DMSO - ML162; DMSO - ML210; DMSO - RSL3; ML210 - ML162; RSL3 - ML162
alpha-ketoglutarate,63.414,6.4203e-06,5.1924,9.1169e-05,DMSO - ML162; DMSO - ML210; DMSO - RSL3
alpha-ketoglutarate.1,63.414,6.4203e-06,5.1924,9.1169e-05,DMSO - ML162; DMSO - ML210; DMSO - RSL3
guanosine,48.91,1.7219e-05,4.764,0.00020375,ML162 - DMSO; ML210 - DMSO; RSL3 - DMSO
guanosine.1,48.91,1.7219e-05,4.764,0.00020375,ML162 - DMSO; ML210 - DMSO; RSL3 - DMSO
NADP+,30.125,0.00010406,3.9827,0.0010555,DMSO - ML210; DMSO - RSL3; ML162 - ML210; ML162 - RSL3; RSL3 - ML210
NADP+.1,30.125,0.00010406,3.9827,0.0010555,DMSO - ML210; DMSO - RSL3; ML162 - ML210; ML162 - RSL3; RSL3 - ML210
CMP,27.494,0.00014497,3.8387,0.0012008,ML162 - DMSO; RSL3 - DMSO; ML162 - ML210; ML162 - RSL3; RSL3 - ML210
CMP.1,27.494,0.00014497,3.8387,0.0012008,ML162 - DMSO; RSL3 - DMSO; ML162 - ML210; ML162 - RSL3; RSL3 - ML210
dATP,27.125,0.00015222,3.8175,0.0012008,DMSO - ML162; DMSO - ML210; DMSO - RSL3; ML210 - ML162; ML210 - RSL3
dATP.1,27.125,0.00015222,3.8175,0.0012008,DMSO - ML162; DMSO - ML210; DMSO - RSL3; ML210 - ML162; ML210 - RSL3
NADH,24.63,0.00021519,3.6672,0.0014176,DMSO - ML162; DMSO - ML210; DMSO - RSL3; ML162 - RSL3
NADH.1,24.63,0.00021519,3.6672,0.0014176,DMSO - ML162; DMSO - ML210; DMSO - RSL3; ML162 - RSL3
UTP,24.49,0.00021963,3.6583,0.0014176,DMSO - ML162; DMSO - ML210; DMSO - RSL3
UTP.1,24.49,0.00021963,3.6583,0.0014176,DMSO - ML162; DMSO - ML210; DMSO - RSL3
fructose-1-6-bisphosphate,21.894,0.00032681,3.4857,0.0019336,DMSO - ML162; DMSO - ML210; DMSO - RSL3; ML210 - ML162
fructose-1-6-bisphosphate.1,21.894,0.00032681,3.4857,0.0019336,DMSO - ML162; DMSO - ML210; DMSO - RSL3; ML210 - ML162
uridine,20.288,0.00042689,3.3697,0.0023315,ML162 - DMSO; ML210 - DMSO; RSL3 - DMSO; ML162 - ML210
uridine.1,20.288,0.00042689,3.3697,0.0023315,ML162 - DMSO; ML210 - DMSO; RSL3 - DMSO; ML162 - ML210
indole-3-carboxylate,19.438,0.00049541,3.305,0.0025125,DMSO - ML162; DMSO - ML210; DMSO - RSL3
indole-3-carboxylate.1,19.438,0.00049541,3.305,0.0025125,DMSO - ML162; DMSO - ML210; DMSO - RSL3
octulose-bisphosphate,18.677,0.00056889,3.245,0.0026928,DMSO - ML162; DMSO - ML210; DMSO - RSL3; ML210 - ML162
octulose-bisphosphate.1,18.677,0.00056889,3.245,0.0026928,DMSO - ML162; DMSO - ML210; DMSO - RSL3; ML210 - ML162
glucose-1-phosphate,17.829,0.00066752,3.1755,0.0029621,DMSO - ML162; DMSO - ML210; DMSO - RSL3; ML210 - ML162; RSL3 - ML162
glucose-1-phosphate.1,17.829,0.00066752,3.1755,0.0029621,DMSO - ML162; DMSO - ML210; DMSO - RSL3; ML210 - ML162; RSL3 - ML162
AMP,14.749,0.001267,2.8972,0.0050368,ML162 - DMSO; ML162 - ML210; ML162 - RSL3; RSL3 - ML210
AMP.1,14.749,0.001267,2.8972,0.0050368,ML162 - DMSO; ML162 - ML210; ML162 - RSL3; RSL3 - ML210
sedoheptulose-bisphosphate,14.715,0.0012769,2.8938,0.0050368,DMSO - ML162; DMSO - ML210; DMSO - RSL3
sedoheptulose-bisphosphate.1,14.715,0.0012769,2.8938,0.0050368,DMSO - ML162; DMSO - ML210; DMSO - RSL3
UMP,11.336,0.0029795,2.5259,0.011134,ML162 - DMSO; ML162 - ML210; ML162 - RSL3; RSL3 - ML210
UMP.1,11.336,0.0029795,2.5259,0.011134,ML162 - DMSO; ML162 - ML210; ML162 - RSL3; RSL3 - ML210
S-methyl-5-thioadenosine,10.34,0.0039746,2.4007,0.01411,ML162 - DMSO; ML210 - DMSO; RSL3 - DMSO; ML162 - RSL3
S-methyl-5-thioadenosine.1,10.34,0.0039746,2.4007,0.01411,ML162 - DMSO; ML210 - DMSO; RSL3 - DMSO; ML162 - RSL3
dCTP,10.083,0.004297,2.3668,0.014528,DMSO - ML162; DMSO - RSL3; ML210 - ML162
dCTP.1,10.083,0.004297,2.3668,0.014528,DMSO - ML162; DMSO - RSL3; ML210 - ML162
dTTP,8.8821,0.0063149,2.1996,0.02038,DMSO - ML162; DMSO - ML210; DMSO - RSL3
dTTP.1,8.8821,0.0063149,2.1996,0.02038,DMSO - ML162; DMSO - ML210; DMSO - RSL3
aconitate,8.6744,0.0067763,2.169,0.020792,DMSO - ML210; ML162 - ML210; RSL3 - ML210
aconitate.1,8.6744,0.0067763,2.169,0.020792,DMSO - ML210; ML162 - ML210; RSL3 - ML210
ribose-phosphate,8.5683,0.0070283,2.1532,0.020792,DMSO - ML162; DMSO - ML210; DMSO - RSL3
ribose-phosphate.1,8.5683,0.0070283,2.1532,0.020792,DMSO - ML162; DMSO - ML210; DMSO - RSL3
citrate,7.9115,0.0088774,2.0517,0.025212,DMSO - ML210; ML162 - ML210; RSL3 - ML210
citrate.1,7.9115,0.0088774,2.0517,0.025212,DMSO - ML210; ML162 - ML210; RSL3 - ML210
6-phospho-D-gluconate,7.7824,0.0093098,2.0311,0.025423,DMSO - ML162; DMSO - ML210; DMSO - RSL3
6-phospho-D-gluconate.1,7.7824,0.0093098,2.0311,0.025423,DMSO - ML162; DMSO - ML210; DMSO - RSL3
isocitrate,7.3946,0.010776,1.9675,0.028337,DMSO - ML210; ML162 - ML210; RSL3 - ML210
isocitrate.1,7.3946,0.010776,1.9675,0.028337,DMSO - ML210; ML162 - ML210; RSL3 - ML210
UDP,6.3102,0.016724,1.7767,0.042408,DMSO - ML210; ML162 - ML210
UDP.1,6.3102,0.016724,1.7767,0.042408,DMSO - ML210; ML162 - ML210
